Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
Dandie Dinmont Terrier,https://fr.wikipedia.org/wiki/Dandie_Dinmont_Terrier,Écosse,"sans indication, entre 20 et 30 cm au garrot Poids de 10 à 13 kg On préfère les poids légers.",,"mélange de poils durs et doux, abondants et hirsutes sur le crâne formant un toupet (top-knot).",poivre (nuances de gris) ou moutarde (nuances de fauve ou sable).,forte avec des mâchoires bien développées et un crâne bombé.,bruns,"tombantes, elles sont bien plaquées contre les joues.",portée gaiement mais pas trop haut,"Terrier plein d’allant et apte au travail. Indépendant, très intelligent, résolu, tenace, sensible, affectueux et digne.","basset, avec un dos légèrement recourbé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien de ferme dano-suédois,https://fr.wikipedia.org/wiki/Chien_de_ferme_dano-su%C3%A9dois,Danemark et Suède,"34 à 37 cm (M), 32 à 35 cm (F).",,"Court, lisse et dur sur le corps.",Robe à dominance blanche avec des taches de différentes couleurs. Mouchetures permises.,"De forme triangulaire, assez petite, crâne assez large et légèrement arrondi, stop bien marqué, museau se rétrécissant graduellement en allant vers la truffe.","De grandeur moyenne, légèrement arrondis.","De longueur moyenne, en rose ou en bouton, pli juste au-dessus du crâne.","Portée droite, avec une légère courbure ou en faucille. Longue ou naturellement courte, en trognon.","Éveillé, attentif et vif.","Chien de petite taille, d'allure ramassée. Le corps s'inscrit dans un rectangle.","Chien de berger , Chien de garde .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decker Terrier,https://fi.wikipedia.org/wiki/Deckerinterrieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deerhound,https://fr.wikipedia.org/wiki/Deerhound,Écosse,"M au moins 76 cm, F 71 cm",,"Hirsute et dur, mais jamais laineux","Gris, bringé, fauve, de préférence unicolore. Petites taches blanches tolérées","Longue, fine, crâne plat, sans stop","Brun foncé, grandeur moyenne.","Petites, légères, disposées en ""rose"", attachées haut","Longue, épaisse, portée basse et atteignant presque terre.","Doux, amical, docile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachet allemand,https://fr.wikipedia.org/wiki/Brachet_allemand,Allemagne,40 à 53 cm .,,"Court, très dense, dur.",Tricolore.,"Légère, sèche, longue. Crâne légèrement arrondi et stop peu marqué.",De couleur foncée.,"Tombantes, longues et larges, arrondies à l'extrémité.","Longue, bien fournie de poil long et touffu.","Polyvalent à la chasse, doux et amical à la maison.","Chien courant de petite taille, d’aspect léger et haut et de construction solide.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxer,https://fr.wikipedia.org/wiki/Boxer_(chien),Allemagne .,Mâle : 57 à 63 cm Femelle : 53 à 59 cm,Mâle : supérieur a 30 kg (pour une taille d'environ 60 cm au garrot) Femelle : superieur a 25 kg (pour une taille d'environ 56 cm au garrot),"Ras, dur, brillant, serré","Fauve, bringée ou blanc, marques blanches, masque noir","Proportionnée au reste du corps, museau doit être aussi large et puissant que possible","Foncés, ni trop petits ni globuleux, ni enfoncés dans l'orbite","Naturelles Attachées haut, appliquées contre la joue au repos","Attachée haut, laissée naturelle, longueur normal","Très énergique, équilibré, courageux, vigilant, joueur, intelligent, amical",,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,
Dogue allemand,https://fr.wikipedia.org/wiki/Dogue_allemand,Allemagne,"80 à 90 cm (M), 72 à 84 cm(F). (information venant du standard officiel FCI",Non précisé dans le standard officiel ( voir standard site fédération cynologique international),"court et dense, lisse et couché bien à plat, luisant.","arlequin (blanche tachetée de noir), fauve, noire, bleue (très foncée « acier »), bringée (marron plus ou moins clair rayé de marron plus foncé ou de noir)","Harmonieusement proportionnée à l'ensemble, allongée, étroite, aux lignes nettes, très expressive, délicatement ciselée (surtout en dessous des yeux) ; les arcades sourcilières (orbitaires) sont bien développées, cependant sans être saillantes. La distance de l'extrémité de la truffe au stop doit autant que possible correspondre à celle du stop à la protubérance occipitale, qui est peu marquée. Les lignes supérieures du crâne et du chanfrein doivent être parallèles. De face, la tête doit paraître étroite, le chanfrein étant aussi large que possible et les muscles des joues n'étant que légèrement indiqués, jamais de relief marqué. Stop: Nettement prononcé","De grandeur moyenne, à l'expression vive et intelligente, aussi foncés que possible, en forme d'amande, les paupières épousant bien la forme du globe oculaire. Chez les dogues bleus, les yeux un peu plus clairs sont admis. Chez les dogues arlequins, les yeux clairs ou de couleurs différentes sont admis.","Attachées haut, tombantes de nature, de grandeur moyenne, le bord antérieur de l'oreille accolé à la joue.","Elle atteint le jarret. Attachée haut et large, elle s'amenuise progressivement jusqu'à son extrémité ; au repos, elle pend en position détendue naturelle ; en action ou quand le chien est excité, elle se recourbe légèrement en forme de sabre, mais sans dépasser sensiblement le niveau du dos. La queue en brosse n'est pas recherchée.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien d'arrêt allemand à poil long,https://fr.wikipedia.org/wiki/Chien_d%27arr%C3%AAt_allemand_%C3%A0_poil_long,Allemagne,"60 à 70 cm (M), 58 à 66 cm (F).",Environ 32 kg .,"Long, droit ou légèrement ondulé. Forme un panache sur la queue, des franches sur les antérieurs et une culotte sur les membres extérieurs.","Marron avec ou sans blanc, rouan foncé, rouan clair, truité.","Allongée, empreinte de noblesse.","De couleur marron foncé, ni saillants, ni enfoncés dans les orbites.","Tombantes, avec un long poil ondulé.",Portée horizontalement avec l'extrémité légèrement relevée.,"Calme, équilibré et facile à éduquer.","Chien d'arrêt d'aspect puissant, musclé et élégant.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien d'arrêt allemand à poil raide,https://fr.wikipedia.org/wiki/Chien_d%27arr%C3%AAt_allemand_%C3%A0_poil_raide,Allemagne,"60 à 70 cm (M), 58 à 68 cm (F).",,"Raide, dur et hérissé. Plus fin et doux sur les oreilles et le haut du crâne.","Marron avec ou sans tache blanche au poitrail, marron mélangé de blanc,avec ou sans plages marron, rouan clair, avec ou sans plages marron.","Proportionnée à la taille, stop peu marqué.","Légèrement ovales, de grandeur moyenne, de couleur marron.","De grandeur moyenne, la pointe est arrondie.","De longueur moyenne, elle peut être écourtée selon la législation. Elle est portée droite ou légèrement courbée vers le haut.","Indépendant, calme, résistant et courageux.","Chien d'arrêt de taille moyenne à grande, le corps s'inscrit dans un carré.","Chien de chasse , Chien de garde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinscher allemand,https://fr.wikipedia.org/wiki/Pinscher_allemand,,45 à 50 cm.,,ras,"noir et feu, roux, rouge cerf...","allongée, forte, avec le front plat","ovales, couleur foncée",en V repliées,"longue, arquée et musclée",,14 à 20 kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spitz allemand,https://fr.wikipedia.org/wiki/Spitz_allemand,Allemagne,"La race existe en cinq tailles différentes, allant de 18 cm à 49 cm .",,"Poil de couverture long, droit et écarté avec sous-poil court, épais et ouaté.","Différentes couleurs de robe existent selon les variétés (gris-loup, noir, marron, blanc, orange…)",En forme de coin.,"De grandeur moyenne, de couleur foncée.","De petite taille, de forme triangulaire, dressées.","Attachée haut et de taille moyenne, fermement enroulée sur le dos.","Attentif, vif et très attaché à son maître.",,Chien de compagnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaniel allemand,https://www.wikidata.org/wiki/Q21161515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque allemand,https://fr.wikipedia.org/wiki/Braque_allemand_%C3%A0_poil_court,Allemagne,"62 à 66 cm (M), 53 à 58 cm (F)",,Court et serré.,"Marron, rouanné marron, noir. Avec ou sans blanc dite truitée .","Sèche, bien ciselée, protubérance occipitale faiblement marquée, arcades sourcilières bien développées.","De grandeur moyenne, ni proéminents ni enfoncés dans les orbites, de couleur marron foncé.","Attache haute et large, de longueur moyenne, tombantes.","Attachée haut, d’une longueur moyenne. Écourtée ou non. Pendante au repos, portée horizontale en action.","Ferme, équilibré, digne de confiance.",Chien puissant et élégant.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berger allemand,https://fr.wikipedia.org/wiki/Berger_allemand,Allemagne,60 à 65 cm (mâle) 55 à 60 cm (femelle) environ,30 à 40 kg (mâle) 22 à 32 kg (femelle) environ,"Court ou long, dense et souple",Noire marquée de taches brunes ou jaunes jusqu'à gris clair. Noir et gris unicolore (charbonné) ou noire,"Cunéiforme, proportionnée, stop peu prononcé, truffe noire","En amandes, obliques, le plus sombre possible","Droites et asymétriques, de taille moyenne, pavillon vers l'avant",Portée tombante décrivant une légère courbe,"Équilibré, courageux, sûr de lui, protecteur et joueur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drahthaar,https://fr.wikipedia.org/wiki/Chien_d%27arr%C3%AAt_allemand_%C3%A0_poil_dur,Allemagne,"61 à 68 cm (M), 57 à 64 cm (F).",,"Dur, couché et dense. Sous-poil serré et imperméable.","Marron mélangé de blanc, avec ou sans plages de couleur, noir mélangé de blanc avec ou sans plages de couleur, marron avec ou sans taches blanches au poitrail, rouan clair.",Lignes du crâne et du chanfrein légèrement divergentes. Stop peu marqué.,"De couleur sombre, pas trop enfoncés dans les orbites.","De grandeur moyenne, leur attache haute et large.",Portée horizontale ou légèrement dirigée vers le haut. Peut-être écourtée.,"Ferme, maître de soi, équilibré, sans crainte du gibier, ni timide, ni agressif.","Chien d'arrêt d'aspect distingué, le corps s'inscrit dans un carré.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogue du Tibet,https://fr.wikipedia.org/wiki/Dogue_du_Tibet,Tibet,61-74cm (F) et 66-80cm (M),40-55 kg (F) et 55-75 kg (M),,,,,,,"Indépendant, très protecteur (sans être agressif pour autant), calme, méfiant envers les étrangers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobermann,https://fr.wikipedia.org/wiki/Dobermann,Allemagne,"Mâle 68-72 cm, Femelle 63-68 cm.","Mâle 40-45 kg, Femelle 32-35 kg.","Court, rude et serré. Lisse et bien couché. Sans sous-poil.","Noir, marron et feu, bleue ou Isabelle (gris)","Crâne fort, typiquement lupoïde avec une mâchoire puissante et large.","Moyens, ovales, de couleur foncée.",,,,,,,,,,,,,,,,,,,,,,,,,Canis lupus familiaris,,,,,,,,,,,,,,,,,,,,,,
Dogue argentin,https://fr.wikipedia.org/wiki/Dogue_argentin,Argentine,hauteur au garrot : Mâles 60 à 68 cm Femelles 60 à 65 cm hauteur idéal : Males 64 à 65 cm Femelles : 62 à 64 cm (information standard officiel FCI),Mâles 40 à 45 kg) Femelles 40 à 43 kg (information standard officiel de la FCI),Court.,Blanche avec une tache foncée ou marron sur la tête n'excédent pas 10 % de la surface de la tête.,Concave convexe.,Sombre ou brun.,Interdiction de couper depuis 2004.,"Courte et grosse, naturellement tombante.",Joueur et courageux.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogue des Canaries,https://fr.wikipedia.org/wiki/Dogue_des_Canaries,Espagne,"61 à 66 cm (M), 57 à 62 cm (F).","45 à 57 kg (M), 40 à 50 kg (F).","Court, rustique, bien couché, sans sous-poil.","Bringée dans toutes ses nuances, noire ou fauve. Masque noir au visage.","Massive, d’aspect compact, joues bien développées.","Légèrement en amandes, de taille moyenne à grande, bien séparés, de couleur foncée.","De taille moyenne, bien séparées, au poil court et fin, tombantes ou dressées si coupées.","Atteint le jarret, portée en sabre en action.","Équilibré, sûr de lui, paisible, très attaché à son maître. Gardien et dissuasif.","Chien de taille moyenne de type molossoïde , d'aspect rustique. Croupe plus haute que le garrot.","Chien de garde , Chien de travail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogue de Bordeaux,https://fr.wikipedia.org/wiki/Dogue_de_Bordeaux,France,62 à 68 cm pour un mâle 60 à 66 cm pour une femelle,entre 50 et 75 kg pour le mâle et entre 45 et 70 kg pour la femelle,"fin, court et doux","unie dans toute la gamme de fauve, de l'isabelle à l'acajou","massive, trapézoïdale, avec des rides sur le museau, babines tombantes","noisette à bruns chez le masque noir, plus clair (non recherché) chez les masques marron ou les sans masques",tombantes à côté des yeux,tombante,"calme, gentil avec les enfants, très bon gardien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de perdrix de Drente,https://fr.wikipedia.org/wiki/Chien_de_perdrix_de_Drente,Pays-Bas,"58 à 63 cm (M), 55 à 60 cm (F).",,Poil long.,"Noir, marron ou orange avec des marques blanches.",En forme de coin.,"De grandeur moyenne, de forme ovale, couleur ambre.","Tombantes, attachées haut, larges à la base.",Atteignant la pointe du jarret.,"Fidèle, doux, intelligent.","Chien d'arrêt de taille moyenne, bien proportionné, à la musculature sèche.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drever,https://fr.wikipedia.org/wiki/Basset_su%C3%A9dois,Suède,"32 à 38 cm (M), 30 à 36 cm (F).",,"Rude, droit et bien couché.",Bicolore et tricolore. Couleur foie interdite.,"Plutôt grande, assez allongée. La longueur du museau est égale à celle du crâne.","De couleur brun foncé, brillants et expressifs.","De longueur et de largeur moyennes, tombantes, extrémités arrondies.",Longue et épaisse à sa naissance. Pendante.,Ardent et équilibré.,"Chien courant de petite taille, de type basset , d'aspect robuste.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunker,https://fr.wikipedia.org/wiki/Chien_courant_norv%C3%A9gien,Norvège,"50 à 55 cm (M), 47 à 53 cm (F).",,"Droit, dur, dense et pas trop court.","Tricolore, peut-être merle .","Assez longue, ligne du chanfrein et du crâne parallèles. Stop marqué.","De couleur foncée, ronds, grands.","Tombantes, attachées à hauteur moyenne, de largeur modérée, atteignent le milieu du museau quand on les étire vers l’avant.","Épaisse à la base, elle s’amenuise vers l’extrémité, droite et portée en formant une légère courbe vers le haut, atteint le jarret.","Affectueux, intelligent, docile et décidé.","Chien courant de taille moyenne, inscriptible dans un rectangle.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonian Hound,https://en.wikipedia.org/wiki/Estonian_Hound,,,,,,,,,,,,,"eesti hagijas, chien courant d'Estonie, Estnische Bracke, sabueso de Estonia",Estonia,,,,,Males,,"short, smooth, shiny",,,,"tricolor (white with black and red markings), bicolor (white and yellow or white and red)",,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elo,https://cs.wikipedia.org/wiki/Elo_(plemeno_psa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Německo Německo,Velký Elo 22-35 kg Malý Elo 10-15 kg,Velký Elo 46-60 cm Malý Elo 35-45 cm,"jakákoliv, optimálně holandský vzor",1: N/A,2: N/A,N/A,[N/A standard],,,,,,,,,,,,,,
Cocker spaniel anglais,https://fr.wikipedia.org/wiki/Cocker_spaniel_anglais,Angleterre,38 à 41cm,14 à 16 kg,"Semi-long à long, légèrement bouclé","Toutes Le standard français de la couleur de sa robe est le foie rouan, orange rouan et le bleu rouan.",Allongée et ronde,Grands,longues et tombantes,Généralement coupée (plus recommandé depuis 2004),"Joueur et joyeux, sensible, expressif, affectueux et plein de vie. Se montre parfois têtu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Coonhound,https://fr.wikipedia.org/wiki/English_Coonhound,États-Unis,"Le mâle 63,5 cm et 61cm environ pour la femelle.",Le mâle 41 kg et 36 kg pour la femelle environ.,Court et épais.,Très noir avec des marques feu.,Crane allongé presque large a un museau ample et long.,Yeux couleurs noisette ou marron foncé.,Oreilles longue et pendantes.,Longue queue.,"Le coonhound est de nature amicale mais à certaines occasion, il peut se montrer agressif.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxhound anglais,https://fr.wikipedia.org/wiki/Foxhound_anglais,Royaume-Uni,58 à 64 cm .,,"Ras, dense, résistant aux intempéries.",Toutes les couleurs de robe des chiens courants sont autorisées.,"Tête bien proportionnée, avec un crâne plat et un stop peu marqué.","De grandeur moyenne, de couleur noisette ou brun.","Tombantes, attachées haut et bien accolées aux joues.","Attachée haut, portée dressée.","Débordant de force et d'endurance, naturellement chasseur, amical.","Chien courant de grande taille, puissant et bien proportionné.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
springer anglais,https://fr.wikipedia.org/wiki/Springer_anglais,Angleterre,48-49 cm pour une femelle 50-51 cm pour un mâle,,"Serré, droit et résistant aux intempéries, jamais grossier. Présence de franges modérées aux oreilles, membres antérieurs, corps et membres postérieurs","Foie et blanc, noir et blanc ou l'un de ces deux robes avec des marques feu.","légèrement arrondie, de taille moyenne",en amande sont de couleur noisette foncé de préférence,longues et larges sont plaquées contre la tête,écourtée ou longue,chien gai et actif. Il est aussi très attaché à son maître.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pointer anglais,https://fr.wikipedia.org/wiki/Pointer_anglais,Royaume-Uni,"63 à 69 cm (M), 61 66 cm (F).",,"Fin, court et lisse.","Citron et blanc, orange et blanc, foie (marron) et blanc, noir et blanc. Les robes unicolores et tricolores sont les plus rares.",Truffe relevé par rapport au chanfrein.,"De préférence foncé, ronds.","Fines, tombantes, de forme triangulaire.",Droite et effilée.,,Chien de type médioligne de taille moyenne et d'allure sportive et agile.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setter anglais,https://fr.wikipedia.org/wiki/Setter_anglais,Royaume-Uni,"65 à 68 cm (M), de 61 à 65 cm (F).",,"Légèrement ondulé, long et soyeux.","Noir et blanc, l'orange et blanc, citron et blanc, marron et blanc et tricolore.","De forme ovale, stop marqué, truffe noire ou couleur foie.","De couleur noisette à marron foncé, de forme ovale.","Longueur moyenne, attachées bas, tombantes.","Longueur moyenne, légèrement incurvée, portée horizontale.","Amical, actif, sens aigu de la chasse.","Chien d'arrêt de taille moyenne, d'aspect élégant.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
